127.0.0.1 - - [12/Sep/2016:08:58:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:27 +0530] "GET /PetWorld/ HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:28 +0530] "GET /PetWorld/resources/css/footer.css;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:28 +0530] "GET /PetWorld/resources/css/bootstrap.min.css;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:30 +0530] "GET /PetWorld/resources/image/img.jpg;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 14407
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:30 +0530] "GET /PetWorld/resources/image/bird.jpg;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 55280
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:30 +0530] "GET /PetWorld/resources/image/pets4.jpg;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 59357
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:30 +0530] "GET /PetWorld/resources/image/pets2.jpg;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 184828
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:30 +0530] "GET /PetWorld/resources/image/pets3.jpg;jsessionid=0F1221663FE211C225E6CBA5C4CDEEA8 HTTP/1.1" 200 818593
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:38 +0530] "GET /PetWorld/signup HTTP/1.1" 200 4999
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:38 +0530] "GET /PetWorld/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:38 +0530] "GET /PetWorld/resources/image/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:08:58:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
